,product,variable,value,factor,product,variable,value,factor
839,Services of households as employers of domestic personnel,Output,1.0,Ratio of direct to total,Services of households as employers of domestic personnel,Gross value added,1.0,total impact
840,,,,,"Products of agriculture, hunting and related services",Output,2.005,total impact
841,,,,,"Products of forestry, logging and related services",Output,2.022,total impact
842,,,,,Fish and other fishing products; aquaculture products; support services to fishing,Output,2.071,total impact
843,,,,,Coal and lignite,Output,1.861,total impact
844,,,,,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Output,1.599,total impact
845,,,,,Other mining and quarrying products,Output,1.865,total impact
846,,,,,Mining support services,Output,2.183,total impact
847,,,,,Preserved meat and meat products,Output,2.453,total impact
848,,,,,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Output,2.354,total impact
849,,,,,Vegetable and animal oils and fats,Output,2.017,total impact
850,,,,,Dairy products,Output,2.396,total impact
851,,,,,"Grain mill products, starches and starch products",Output,2.329,total impact
852,,,,,Bakery and farinaceous products,Output,2.06,total impact
853,,,,,Other food products,Output,1.992,total impact
854,,,,,Prepared animal feeds,Output,2.548,total impact
855,,,,,Alcoholic beverages  & Tobacco products,Output,2.025,total impact
856,,,,,Soft drinks,Output,2.012,total impact
857,,,,,Textiles,Output,1.484,total impact
858,,,,,Wearing apparel,Output,1.566,total impact
859,,,,,Leather and related products,Output,1.697,total impact
860,,,,,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Output,1.59,total impact
861,,,,,Paper and paper products,Output,1.729,total impact
862,,,,,Printing and recording services,Output,1.602,total impact
863,,,,,Coke and refined petroleum products,Output,1.146,total impact
864,,,,,"Paints, varnishes and similar coatings, printing ink and mastics",Output,1.729,total impact
865,,,,,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Output,1.693,total impact
866,,,,,Other chemical products,Output,1.637,total impact
867,,,,,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Output,1.746,total impact
868,,,,,Petrochemicals - 20.14/16/17/60,Output,1.854,total impact
869,,,,,"Dyestuffs, agro-chemicals - 20.12/20",Output,1.505,total impact
870,,,,,Basic pharmaceutical products and pharmaceutical preparations,Output,1.571,total impact
871,,,,,Rubber and plastic products,Output,1.644,total impact
872,,,,,"Cement, lime, plaster and articles of concrete, cement and plaster",Output,1.724,total impact
873,,,,,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Output,1.73,total impact
874,,,,,Basic iron and steel,Output,1.795,total impact
875,,,,,Other basic metals and casting,Output,1.498,total impact
876,,,,,Weapons and ammunition,Output,1.88,total impact
877,,,,,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Output,1.472,total impact
878,,,,,"Computer, electronic and optical products",Output,1.507,total impact
879,,,,,Electrical equipment,Output,1.684,total impact
880,,,,,Machinery and equipment n.e.c.,Output,1.637,total impact
881,,,,,"Motor vehicles, trailers and semi-trailers",Output,1.688,total impact
882,,,,,Ships and boats,Output,1.818,total impact
883,,,,,Air and spacecraft and related machinery,Output,1.903,total impact
884,,,,,Other transport equipment - 30.2/4/9,Output,1.934,total impact
885,,,,,Furniture,Output,1.633,total impact
886,,,,,Other manufactured goods,Output,1.496,total impact
887,,,,,Repair and maintenance of ships and boats,Output,1.492,total impact
888,,,,,Repair and maintenance of aircraft and spacecraft,Output,2.084,total impact
889,,,,,Rest of repair; Installation - 33.11-14/17/19/20,Output,1.629,total impact
890,,,,,"Electricity, transmission and distribution",Output,2.664,total impact
891,,,,,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Output,2.521,total impact
892,,,,,Natural water; water treatment and supply services,Output,1.526,total impact
893,,,,,Sewerage services; sewage sludge,Output,1.312,total impact
894,,,,,"Waste collection, treatment and disposal services; materials recovery services",Output,1.77,total impact
895,,,,,Remediation services and other waste management services,Output,1.788,total impact
896,,,,,Construction,Output,2.069,total impact
897,,,,,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Output,1.605,total impact
898,,,,,"Wholesale trade services, except of motor vehicles and motorcycles",Output,1.704,total impact
899,,,,,"Retail trade services, except of motor vehicles and motorcycles",Output,1.6,total impact
900,,,,,Rail transport services,Output,2.089,total impact
901,,,,,"Land transport services and transport services via pipelines, excluding rail transport",Output,1.722,total impact
902,,,,,Water transport services,Output,1.493,total impact
903,,,,,Air transport services,Output,1.731,total impact
904,,,,,Warehousing and support services for transportation,Output,1.867,total impact
905,,,,,Postal and courier services,Output,1.63,total impact
906,,,,,Accommodation services,Output,1.748,total impact
907,,,,,Food and beverage serving services,Output,1.746,total impact
908,,,,,Publishing services,Output,1.678,total impact
909,,,,,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Output,1.725,total impact
910,,,,,Telecommunications services,Output,1.409,total impact
911,,,,,"Computer programming, consultancy and related services",Output,1.581,total impact
912,,,,,Information services,Output,1.587,total impact
913,,,,,"Financial services, except insurance and pension funding",Output,1.586,total impact
914,,,,,"Insurance, reinsurance and pension funding services, except compulsory social security",Output,1.803,total impact
915,,,,,Services auxiliary to financial services and insurance services,Output,1.595,total impact
916,,,,,Real estate services on a fee or contract basis,Output,1.573,total impact
917,,,,,Owner-Occupiers' Housing Services,Output,1.237,total impact
918,,,,,"Real estate services, excluding on a fee or contract basis and imputed rent",Output,1.597,total impact
919,,,,,Legal services,Output,1.344,total impact
920,,,,,"Accounting, bookkeeping and auditing services; tax consulting services",Output,1.243,total impact
921,,,,,Services of head offices; management consulting services,Output,1.626,total impact
922,,,,,Architectural and engineering services; technical testing and analysis services,Output,1.837,total impact
923,,,,,Scientific research and development services,Output,1.696,total impact
924,,,,,Advertising and market research services,Output,1.578,total impact
925,,,,,"Other professional, scientific and technical services",Output,1.869,total impact
